issue_month,Very Low,Low,Medium,High,Very High
2007-06-01,,,,0.2218281145244622,
2007-07-01,0.045845931426352425,0.09995299361737334,0.16073999675183306,0.23141186247864853,
2007-08-01,0.057666204115304195,0.12702407955995185,0.1937447776625965,0.24782755075494295,0.32964066976440876
2007-09-01,0.06164092396241129,0.1310007820757846,0.19309129636017244,0.2903977097177702,
2007-10-01,0.05078335650540897,0.129321861693505,0.18969999950701047,0.25835877396870754,
2007-11-01,0.06100888026822704,0.11989920572501694,0.19314228947553158,0.2544826129213157,
2007-12-01,0.08093287774839374,0.14360035909553506,0.20161209283802098,0.279095897372396,0.3555698496821946
2008-01-01,0.06960659143326078,0.12370515378640834,0.18632074192604764,0.2513004280334345,0.42202477734751037
2008-02-01,0.0754572486075513,0.13679244161009838,0.2035222821047349,0.2804350478664341,0.3614535622290545
2008-03-01,0.08089418124798022,0.13287192594251665,0.19549861727796997,0.2583850333305493,
2008-04-01,0.07616370109252965,0.14255819441854253,0.20118297656108136,0.2690089371823846,
2008-05-01,0.07151689272187496,0.13114661170714245,0.1891233191368505,0.24021783668541347,
2008-06-01,0.07441683164781307,0.12534587796209962,0.1780112569806168,0.25380211712322415,
2008-07-01,0.07678768900518389,0.13089601301834625,0.20078535836415212,0.28693084551753223,
2008-08-01,0.0794290306647953,0.1377232602526264,0.20124240047600858,0.2766898872579174,
2008-09-01,0.0670908071289187,0.12622319784074393,0.19253069247137103,0.24856609879871186,
2008-10-01,0.0881909674670667,0.13732687370255758,0.2011400229756229,0.27794272715909124,0.3918481572155768
2008-11-01,0.08125394982429458,0.13990468570255843,0.20918458969588036,0.27517935382220926,0.37558136237310186
2008-12-01,0.08402146261999928,0.13993689150353092,0.20195743256354973,0.2875335936771938,0.3624641630541685
2009-01-01,0.07781858271496195,0.14049508536969588,0.2067948690364818,0.2780165619664071,0.3875309289868599
2009-02-01,0.07521235587858349,0.14085844264717312,0.20215537814118145,0.2829204277338351,0.3714776229728976
2009-03-01,0.07265622292158849,0.1431223222508516,0.20846123620022286,0.2805658834337671,0.3798403670283378
2009-04-01,0.07949882016982045,0.1375758430885817,0.20996210873429866,0.28075618153490295,0.37952148001306885
2009-05-01,0.0791394289310165,0.13802654487086458,0.20520467442027396,0.27728396960664153,0.3797640651567783
2009-06-01,0.08001031011829637,0.13903179435797963,0.20290364228701357,0.2727614267401713,0.41368805682501947
2009-07-01,0.08126638918969528,0.13899154271060798,0.2056766974270284,0.2763401760549152,0.39959712600084835
2009-08-01,0.0799014260651637,0.1382665940692358,0.20262225720250332,0.28227294209080595,0.41930252150584374
2009-09-01,0.07919951702645073,0.13777271115108464,0.20243072215882854,0.2850968899138099,0.4253657056211395
2009-10-01,0.07101016929833892,0.13212536947946213,0.1977200531572296,0.2680062126465844,0.3694890605444205
2009-11-01,0.07661404172806266,0.1385878550317475,0.20561361732868477,0.27846520701812705,0.387364833596978
2009-12-01,0.07209022892982779,0.1326846990254605,0.19643659903967753,0.27734158955503896,0.39863480926161915
2010-01-01,0.07237295835440621,0.12915152993979861,0.19523053388993475,0.268651788872817,0.3806362751711639
2010-02-01,0.07008063327512698,0.12899314624747735,0.18885206340603056,0.2652603792639408,0.3657055768674477
2010-03-01,0.06960374107816525,0.13008363047948357,0.1961923038339394,0.2662441020172033,0.40858694015373404
2010-04-01,0.07109501589461298,0.13142706042099844,0.19567139028305772,0.26744726521884277,0.37643783517396956
2010-05-01,0.068108293523785,0.12764245195198667,0.18892400373710663,0.27011655420805847,0.3802027474463819
2010-06-01,0.07250680269312502,0.13905263844731666,0.21048674349111682,0.290144781323928,0.4123114685537969
2010-07-01,0.06587476580856112,0.1277899362362203,0.19281756109856202,0.2698821627948838,0.3886701225344447
2010-08-01,0.06864245786297465,0.13134853967450752,0.19702103048784844,0.27851026960370906,0.39334292657551884
2010-09-01,0.06322254656373226,0.12534728991019511,0.1841251386255951,0.2661255072523257,0.37989334475660963
2010-10-01,0.06139546290810462,0.11964383066273995,0.18040828365714182,0.257539797297305,0.37069114076120324
2010-11-01,0.05560623452201446,0.11648002681330727,0.1753906720900603,0.24811203678787144,0.35306209999595156
2010-12-01,0.052319537438232144,0.11107520941817547,0.17179613228160584,0.24332341726351733,0.35175336831341764
2011-01-01,0.054693627863954875,0.10931320019067627,0.16781536874553762,0.24003324224854145,0.34299147344627
2011-02-01,0.0556487254576342,0.10684826409941554,0.16616971389429797,0.23952112287424296,0.35145849431425935
2011-03-01,0.05401182466082657,0.10603651176669472,0.16182126256868176,0.24059069298076968,0.3476749659011474
2011-04-01,0.05424143291123338,0.10868355571044011,0.16442055288712298,0.2393825971281101,0.34752662259940215
2011-05-01,0.05323440507583418,0.10700531117400755,0.16239185733160555,0.2356826185421742,0.35190897886971656
