month,baseline_loss,cris_loss,baseline_approval_rate,cris_approval_rate,macro_stress,baseline_auc,cris_auc,baseline_ece,cris_ece,review_rate,posture
2008-06-01,52500.0,42000.0,0.9545454545454546,0.8636363636363636,0.23700000000000004,0.847457627118644,0.847457627118644,0.05256102247000414,0.03725033344425688,0.10606060606060606,HIGH_UNCERTAINTY_REVIEW
2008-07-01,157500.0,147000.0,0.9397590361445783,0.8313253012048193,0.288,0.4304812834224599,0.4304812834224599,0.1729994756181312,0.15971866439477245,0.12048192771084337,HIGH_UNCERTAINTY_REVIEW
2008-08-01,52500.0,52500.0,0.9154929577464789,0.8309859154929577,0.29449999999999993,0.617948717948718,0.617948717948718,0.08398522964619112,0.0656226839440127,0.11267605633802817,CAUTIOUS
2008-09-01,52500.0,52500.0,0.9375,0.78125,0.251,0.6370370370370371,0.6370370370370371,0.1399599112537705,0.14727295310014415,0.15625,HIGH_UNCERTAINTY_REVIEW
2008-10-01,115499.99999999999,0.0,0.8229166666666666,0.0,0.598,0.6041152263374486,0.6041152263374486,0.12457077620482655,0.12557859870600013,0.6770833333333334,DEFENSIVE
2008-11-01,251999.99999999997,0.0,0.7880434782608695,0.0,0.7394999999999997,0.5656757326586549,0.5656757326586549,0.15239542148578356,0.16636078346583755,0.6413043478260869,DEFENSIVE
2008-12-01,262500.0,0.0,0.8071748878923767,0.0,0.7470000000000001,0.5100478468899521,0.5100478468899521,0.13781388253645463,0.15221787285440583,0.6053811659192825,DEFENSIVE
2009-01-01,262500.0,0.0,0.8242677824267782,0.0,0.5665,0.4935680433310765,0.4935680433310765,0.1291461378435553,0.13892469886131034,0.6108786610878661,DEFENSIVE
2009-02-01,315000.0,0.0,0.8615384615384616,0.0,0.5440000000000002,0.6052837064029152,0.6052837064029152,0.11548112675760869,0.10992652591564221,0.6115384615384616,DEFENSIVE
2009-03-01,220500.0,0.0,0.8297101449275363,0.0,0.6275,0.5943383805134956,0.5943383805134956,0.09284226537796214,0.10703575173926382,0.605072463768116,DEFENSIVE
2009-04-01,336000.0,0.0,0.8517241379310345,0.0,0.5460000000000002,0.5803,0.5803,0.11379273887041454,0.12124777642247611,0.6620689655172414,DEFENSIVE
2009-05-01,336000.0,0.0,0.8307210031347962,0.0,0.601,0.555440948942754,0.555440948942754,0.12103476080978767,0.12002706727543758,0.5768025078369906,DEFENSIVE
2009-06-01,388500.0,0.0,0.8904494382022472,0.0,0.491,0.5727765807266514,0.5727765807266514,0.07040485021969194,0.07590485651739334,0.449438202247191,DEFENSIVE
2009-07-01,378000.0,304500.0,0.8181818181818182,0.6497326203208557,0.3504999999999998,0.5721257075932071,0.5721257075932071,0.07897814602720607,0.07473013117634555,0.20588235294117646,HIGH_UNCERTAINTY_REVIEW
2009-08-01,336000.0,210000.0,0.8823529411764706,0.6617647058823529,0.3395,0.6555706521739131,0.6555706521739131,0.029508817135401877,0.042090274379119684,0.25980392156862747,HIGH_UNCERTAINTY_REVIEW
2009-09-01,451500.0,336000.0,0.8151447661469933,0.6414253897550112,0.31599999999999995,0.5642678123881132,0.5642678123881132,0.05823576100931649,0.07686868478933624,0.2182628062360802,CAUTIOUS
2009-10-01,714000.0,493499.99999999994,0.8128440366972477,0.6,0.279,0.5569442353059277,0.5569442353059277,0.09834749485489049,0.10475690631094338,0.25137614678899084,HIGH_UNCERTAINTY_REVIEW
2009-11-01,693000.0,598500.0,0.8820598006644518,0.7558139534883721,0.315,0.5730900480534856,0.5730900480534856,0.07291446009362774,0.07944142378489825,0.15946843853820597,CAUTIOUS
2009-12-01,514499.99999999994,409500.0,0.8311036789297659,0.6806020066889632,0.2945,0.5403225806451613,0.5403225806451613,0.07238163123618,0.0904304003717931,0.1956521739130435,CAUTIOUS
2010-01-01,609000.0,482999.99999999994,0.8047538200339559,0.66553480475382,0.2764999999999999,0.6001333743716015,0.6001333743716015,0.08220210400583267,0.08736199889539717,0.1731748726655348,CAUTIOUS
2010-02-01,451500.0,399000.0,0.8261562998405104,0.69377990430622,0.26500000000000007,0.596026117302713,0.596026117302713,0.07173482174150342,0.07388846908452379,0.1722488038277512,CAUTIOUS
2010-03-01,546000.0,430500.0,0.8385345997286295,0.7096336499321574,0.28200000000000003,0.6007333159767422,0.6007333159767422,0.07306697477144553,0.07632473506548573,0.16960651289009498,CAUTIOUS
2010-04-01,640500.0,388500.0,0.7678355501813785,0.5489721886336155,0.286,0.570109674251105,0.570109674251105,0.07422957017723447,0.09312874617772446,0.2756952841596131,HIGH_UNCERTAINTY_REVIEW
2010-05-01,840000.0,472499.99999999994,0.7097826086956521,0.47608695652173916,0.2574999999999999,0.5852276729559748,0.5852276729559748,0.07431876239649367,0.08282795911096615,0.3184782608695652,HIGH_UNCERTAINTY_REVIEW
2010-06-01,1144500.0,0.0,0.7580174927113703,0.0,0.4985,0.6381004900249898,0.6381004900249898,0.06072000558224904,0.06571416493569035,0.2759961127308066,DEFENSIVE
2010-07-01,913500.0,493499.99999999994,0.7855227882037533,0.4968722073279714,0.2575,0.6436811512331455,0.6436811512331455,0.039889914855815,0.05279467638932301,0.37890974084003576,HIGH_UNCERTAINTY_REVIEW
2010-08-01,997499.9999999999,482999.99999999994,0.8098330241187384,0.5250463821892394,0.2770000000000001,0.6741426910781749,0.6741426910781749,0.025549935395325223,0.029702880736751022,0.35714285714285715,HIGH_UNCERTAINTY_REVIEW
