issue_d,target,baseline_pd,macro_conditioned_pd,macro_stress_score,environmental_confidence,dominant_field
2018-06-01,0,0.3240781845932341,0.33101618079934325,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-03-01,1,0.2706746102568502,0.27814081240693367,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-02-01,0,0.04007932061410066,0.04007932061410066,0.0365,0.902725,NONE
2018-09-01,0,0.07391318712318404,0.07484259449543985,0.097,0.79705,TRAJECTORY_DEGRADATION
2018-12-01,0,0.2511307301651212,0.2826527769141877,0.1955,0.7170749999999999,TRANSITIONAL
2018-03-01,1,0.15979525262441455,0.16489448682995428,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-01-01,0,0.47685156496582687,0.4768515649658269,0.039,0.89535,NONE
2018-07-01,0,0.10180040569349304,0.10359732475693692,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-02-01,0,0.10749024350075698,0.10749024350075698,0.0365,0.902725,NONE
2018-06-01,1,0.2550702640202929,0.2611015956349334,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-06-01,1,0.27969798296609655,0.2860880094454322,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-06-01,0,0.14926654361321515,0.15331095258813696,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-10-01,0,0.0649542514394391,0.0649542514394391,0.0805,0.809325,NONE
2018-06-01,0,0.10512072574899985,0.10812101364036832,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-08-01,0,0.09682738920162645,0.09934856553347517,0.107,0.79355,TRAJECTORY_DEGRADATION
2018-03-01,1,0.07833495709756914,0.08108557594478925,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-06-01,0,0.48239224330637287,0.4902611910783078,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-05-01,0,0.07236463570219101,0.0785349568170328,0.147,0.78605,TRAJECTORY_DEGRADATION
2018-02-01,1,0.19017733975597986,0.19017733975597984,0.0365,0.902725,NONE
2018-05-01,0,0.04221552361846196,0.045942436840120414,0.147,0.78605,TRAJECTORY_DEGRADATION
2018-02-01,0,0.21525532832500427,0.21525532832500427,0.0365,0.902725,NONE
2018-05-01,0,0.19199686027752386,0.20610148826759464,0.147,0.78605,TRAJECTORY_DEGRADATION
2018-02-01,1,0.2945920029503636,0.2945920029503636,0.0365,0.902725,NONE
2018-07-01,0,0.16978120399773144,0.1725475628230162,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-07-01,0,0.0243683207198133,0.024836248699640174,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-01-01,0,0.055596820668227555,0.055596820668227555,0.039,0.89535,NONE
2018-04-01,0,0.19226647073953892,0.20601756031293808,0.1455,0.825575,MIXED
2018-06-01,0,0.061972309968173225,0.06382892366769381,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-01-01,0,0.31681849071465734,0.31681849071465734,0.039,0.89535,NONE
2018-06-01,0,0.11062573269001703,0.11376316672281955,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-01-01,0,0.2941981306930168,0.2941981306930168,0.039,0.89535,NONE
2018-04-01,0,0.2462154265211653,0.26257071835077256,0.1455,0.825575,MIXED
2018-02-01,0,0.05744751530217261,0.05744751530217261,0.0365,0.902725,NONE
2018-04-01,1,0.20828347041557957,0.22286403933991472,0.1455,0.825575,MIXED
2018-10-01,0,0.1247865061726824,0.1247865061726824,0.0805,0.809325,NONE
2018-09-01,0,0.03920593506188211,0.0397176396625629,0.097,0.79705,TRAJECTORY_DEGRADATION
2018-05-01,0,0.10931489627873109,0.11823428470536519,0.147,0.78605,TRAJECTORY_DEGRADATION
2018-07-01,0,0.03202263679012377,0.032632629138726894,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-04-01,0,0.4204863050780657,0.4416354283876876,0.1455,0.825575,MIXED
2018-03-01,0,0.42903008296704553,0.4382396364524067,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-06-01,0,0.06891562277345126,0.07096451273990521,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-07-01,0,0.06080818715663736,0.061931427015181194,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-03-01,1,0.06019325773798154,0.06234995091877681,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-04-01,0,0.3569722245162618,0.37700502334101693,0.1455,0.825575,MIXED
2018-05-01,0,0.14327730065999944,0.15448715889020723,0.147,0.78605,TRAJECTORY_DEGRADATION
2018-06-01,0,0.18895132504007497,0.19382601912210665,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-03-01,0,0.1156184453479644,0.11950846723814794,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-07-01,0,0.1918507465129817,0.1948922852011416,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-01-01,0,0.08357323439431844,0.08357323439431844,0.039,0.89535,NONE
2018-02-01,0,0.3703953898083336,0.3703953898083336,0.0365,0.902725,NONE
2018-01-01,0,0.09545890343903358,0.09545890343903358,0.039,0.89535,NONE
2018-04-01,0,0.1102703336942949,0.11902111534396126,0.1455,0.825575,MIXED
2018-07-01,0,0.18362022175607834,0.18656139867209187,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-01-01,0,0.12562935110234047,0.12562935110234047,0.039,0.89535,NONE
2018-05-01,0,0.13119700010699456,0.14161794397775151,0.147,0.78605,TRAJECTORY_DEGRADATION
2018-06-01,0,0.5009563807894728,0.5088304636855068,0.109,0.79285,TRAJECTORY_DEGRADATION
2018-01-01,0,0.05633322548222238,0.05633322548222238,0.039,0.89535,NONE
2018-03-01,0,0.32045314130392966,0.3286736363470301,0.113,0.84345,TRAJECTORY_DEGRADATION
2018-02-01,0,0.16599611635565373,0.16599611635565373,0.0365,0.902725,NONE
2018-07-01,0,0.21371953359861628,0.21701467233861002,0.101,0.79565,TRAJECTORY_DEGRADATION
2018-02-01,0,0.2376872051446779,0.2376872051446779,0.0365,0.902725,NONE
